estado,cidade,bairro,endereco,preco,avaliacao,desconto,modalidade,descricao,link,foto,first_time_seen,not_seen_since
RO,JARU,CENTRO,"RUA CEARÁ, N. 1091, LOTE 03, QUADRA 20",191655.52,306000.0,37.37,Venda Direta Online,"Comercial, 272.00 de área total, 272.00 de área privativa, 877.40 de área do terreno.",13332,,2021-08-22,2021-09-03
RO,JI-PARANA,ESPELHO D' AGUA,"Av. Lago Azul, N. 10, Lote 10, Quadra 05",68941.5,95000.0,27.43,Venda Direta Online,"Terreno, 504.80 de área total, 0.00 de área privativa, 504.80 de área do terreno.",10004000,,2021-08-22,2021-09-03
RO,JI-PARANA,ESPELHO D' AGUA,"Av. Lago Azul, N. 11, Lote 11, Quadra 05",77649.9,107000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 525.00 de área do terreno.",10004002,,2021-08-22,2021-09-03
RO,JI-PARANA,ESPELHO D' AGUA,"Av. Quero-quero, N. 04, Lote 04, Quadra 10",85136.12,190000.0,55.2,Venda Direta Online,"Terreno, 532.00 de área total, 0.00 de área privativa, 532.00 de área do terreno.",10004011,,2021-09-01,2021-09-03
RO,JI-PARANA,ESPELHO D' AGUA,"Av. Quero-quero, N. 04, Lote 04, Quadra 10",85136.12,190000.0,55.2,Venda Online,"Terreno, 532.00 de área total, 0.00 de área privativa, 532.00 de área do terreno.",10004011,,2021-08-25,2021-09-03
RO,JI-PARANA,ESPELHO D' AGUA,"Rua Ipê Amarelo, N. 08, Lote 08, Quadra 05",79827.0,110000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 525.00 de área do terreno.",10003994,,2021-08-22,2021-09-03
RO,JI-PARANA,JARDIM SAO CRISTOVAO,"Av 1000, N. 18, Lote 18, Quadra 74",48621.9,67000.0,27.43,Venda Direta Online,"Terreno, 476.25 de área total, 0.00 de área privativa, 476.25 de área do terreno.",10006195,,2021-08-22,2021-09-03
RO,JI-PARANA,JARDIM SAO CRISTOVAO,"Av Holanda, N. 14, Lote 14, Quadra 74",44526.4,71000.0,37.29,Venda Direta Online,"Terreno, 360.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.",10006197,,2021-08-22,2021-09-03
RO,JI-PARANA,RIACHUELO,"RUA JOAO GOULART UNID 1, N. 01, LT 01, QD 55, ST 05",130626.0,180000.0,27.43,Venda Direta Online,"Terreno, 600.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",10008401,,2021-08-22,2021-09-03
RO,JI-PARANA,UNIAO,"AV MARECHAL RONDON NORTE, N. 134, LT 05, QD 01, ST 02.1",327420.0,545700.0,40.0,Venda Direta Online,"Terreno, 1216.25 de área total, 0.00 de área privativa, 1216.25 de área do terreno.",10008034,,2021-08-22,2021-09-03
