link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado
10006201,"Rua Prefeito Alexandre Esteves, N. 04, Lt. 04, Qd. 05, St. 03",CENTRO,"Terreno, 900.08 de área total, 0.00 de área privativa, 900.08 de área do terreno.",54500.0,57000.0,4.39,Venda Online,,BRASILEIA,AC
10002718,"Av. Gov. Edmundo Pinto, S-01 QD-04 LT 05-A",CENTRO,"Terreno, 2580.00 de área total, 0.00 de área privativa, 2580.00 de área do terreno.",105226.5,145000.0,27.43,Venda Online,,CAPIXABA,AC
10002735,"Lote nº 60 rural COLOCAÇÃO SÃO JOSE, N. 60, ROD. 307",CENTRO,"Gleba, 0.00 de área total, 0.00 de área privativa, 15029.00 de área do terreno.",122850.0,273000.0,55.0,Venda Direta Online,,CRUZEIRO DO SUL,AC
10005015,"Rua Yaco, N. 1, Lote 11, Quadra 82",CENTRO,"Terreno, 550.00 de área total, 0.00 de área privativa, 550.00 de área do terreno.",116112.0,160000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10005116,"RUA YACO, N. S/N, QUARTEIRÃO 82, LOTE 12",,"Terreno, 0.00 de área total, 0.00 de área privativa, 550.00 de área do terreno.",123369.0,170000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10005119,"AV IDELFONSO CORDEIRO, N. S/N, SETOR 4-A, QD 70-B LOTE 23",,"Terreno, 0.00 de área total, 0.00 de área privativa, 400.00 de área do terreno.",75016.73,131000.0,42.74,Venda Direta Online,,CRUZEIRO DO SUL,AC
10005120,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272, LOTE 10",,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",71844.3,99000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10005121,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11",,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",71844.3,99000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10005122,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12",,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",71844.3,99000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10005479,"RUA DO PURUS, N. S/N, LOTE 13 QUARTEIRÃO 272",,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",71118.6,98000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10005480,"RUA DOS PURUS, N. S/N, LOTE 14 QUARTEIRÃO 272",,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",71118.6,98000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10007018,"RUA SANTA CATARINA, N. 01, LT 14, QUARTEIRÃO 245",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.",32656.5,45000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10007019,"RUA SANTA CATARINA, N. 01, LT 13, QUARTEIRÃO 245",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 550.00 de área do terreno.",64587.3,89000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10007020,"RUA MINAS GERAIS, N. 01, LT 23, QUARTEIRÃO 245",CENTRO,"Terreno, 500.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",60233.1,83000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10007021,"RUA PARANÁ, N. 01, LT 29, QUARTEIRÃO 245",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 550.00 de área do terreno.",67490.1,93000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10007022,"RUA MINAS GERAIS, N. 01, LT 20, QUARTEIRÃO 245",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",60233.1,83000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
