link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado
8444402552327,"Rua Antonio Rodrigues Pereira, N. 83, Quadra 26, Lote 2, Setor 4",CENTRO,"Casa, 99.00 de área total, 99.00 de área privativa, 134.00 de área do terreno, 3 qto(s), varanda, a.serv, WC, sacada, cozinha, 1 vaga(s) de garagem.",80586.03,151500.0,46.81,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444404153241,"Av Nossa Senhora Aparecida, Qd 35, Lote 10, Setor 4",CENTRO,"Casa, 61.20 de área total, 61.20 de área privativa, 63.45 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",42288.87,75000.0,43.62,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444404918310,"Rua Aracaju, N. 452, Quadra 70, Lote 03, Setor 02, Zona Nor",CENTRO,"Casa, 68.60 de área total, 68.60 de área privativa, 109.12 de área do terreno, 2 qto(s), 1 suite(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",55974.21,101000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444405147911,"Rua I Zona Oeste Quadra 43 Lote 08 Setor 05, N. 682, Atual Rua José Chaves",CENTRO,"Casa, 108.90 de área total, 108.90 de área privativa, 320.77 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",76768.52,141000.0,45.56,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444405835362,"Rua São Luiz, N. 192, Quadra 30, Lote 09. Atual Rua S Lázaro",CENTRO,"Casa, 67.72 de área total, 67.72 de área privativa, 209.72 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",47107.01,85000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444406127930,"RUA SÃO MIGUEL, N. 227, QD 68 LOTE 36 SETOR 02",CENTRO,"Casa, 68.60 de área total, 68.60 de área privativa, 191.35 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",54311.61,98000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444406344680,Av Irmã Isabel s/nº Quadra 50 Lote 16 Setor 04,CENTRO,"Casa, 61.60 de área total, 61.60 de área privativa, 139.20 de área do terreno, 2 qto(s), varanda, WC, 1 sala(s), cozinha.",40235.71,71000.0,43.33,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444406388017,"Av João de Deus Costa, N. 1645, Quadra 353, Lote 5, Setor 5",CENTRO,"Casa, 61.48 de área total, 61.48 de área privativa, 61.48 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",41565.01,75000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444407448323,"2ª Tv do Cruzeiro s/n Quadra 5 Lote 9 Setor 6, Bairro Pombalzinho",CENTRO,"Casa, 69.00 de área total, 69.00 de área privativa, 112.50 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",49878.0,90000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444407456717,"Rua Padre mendonça, N. 266, Setor 1, Qd 23, Lt 39",CENTRO,"Casa, 0.00 de área total, 63.36 de área privativa, 0.00 de área do terreno, 2 qto(s), WC, 1 sala(s), cozinha.",48736.21,86000.0,43.33,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444407517376,"Rua Antonio Dantas Nobre, N. 93, Qd 78 Lote 10",CENTRO,"Casa, 76.25 de área total, 76.25 de área privativa, 130.00 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",54969.91,97000.0,43.33,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444407535340,"Rua Antonio Dantas de Miranda, N. 116, Quadra 32, Lote 20, Setor 3, Zona Lest",CENTRO,"Casa, 68.50 de área total, 68.50 de área privativa, 100.00 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",45998.61,83000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444408440954,"Rua do Cedro, N. 146, Quadra 8, Lote 17, Setor 8",CENTRO,"Casa, 68.17 de área total, 68.17 de área privativa, 126.25 de área do terreno, 1 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",54588.71,98500.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444409282040,"R JOAO FERNANDES DA GAMA, QD 54 LT 07 SETOR 04",CENTRO,"Casa, 64.00 de área total, 64.00 de área privativa, 125.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.",43069.21,76000.0,43.33,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444409549518,"Rua Santista, N. 123, Vila Operária. Qd 41, Lt05, Setor 08",CENTRO,"Casa, 54.00 de área total, 54.00 de área privativa, 126.35 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",38018.13,68600.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444410479650,"2ª Tv Luiz Eduardo Magalhaes, N. 96, Quadra 62, Lote 10, Setor 2. Zona Nort",CENTRO,"Casa, 48.00 de área total, 48.00 de área privativa, 52.50 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",48769.6,88000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
